contrast 0,contrast 45,contrast 90,contrast 135,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,asm 0,asm 45,asm 90,asm 135,energy 0,energy 45,energy 90,energy 135,corelation 0,corelation 45,corelation 90,corelation 135,label
10905.46359299068,10907.661044719362,10912.073385627411,10907.52239600927,85.40968328561547,85.42074149405342,85.43747671670732,85.42158271947744,0.010726561918366908,0.010706496193894369,0.010737870423420413,0.010683914278044309,1.5657612873726855e-05,1.5668771888889587e-05,1.567236128915131e-05,1.5666352042466378e-05,0.003956970163360707,0.003958379957620237,0.003958833324244822,0.003958074284606894,-0.0049754383843859705,-0.005240495832108726,-0.005597997040191326,-0.0052884863792595944,Bishop
11299.220348771549,11270.366766446848,11333.69891403351,11286.978899736012,87.93474976399237,87.81690410532036,88.2367775167496,87.92264312108335,0.008936766858500422,0.0065402411798945025,0.00590779233714386,0.006435535200583198,1.739507163365744e-05,1.7255520238599463e-05,1.7459388844579995e-05,1.7323121250533543e-05,0.004170739938387125,0.004153976436933588,0.004178443351845277,0.004162105386764437,-0.033579969242782164,-0.030889310344553188,-0.036137505942935,-0.03161664964033297,Bishop
11442.04613780145,11416.512162729554,11446.955646993065,11413.72891446148,88.87119956451376,88.74508933422672,88.86558848126492,88.74311573739378,0.005615386608395837,0.0054034243882791775,0.005972025864241539,0.005449355468142922,1.775132057029558e-05,1.770255100221086e-05,1.7839660474869508e-05,1.770267044468396e-05,0.004213231606533823,0.004207439958241931,0.004223702223745124,0.004207454152416156,-0.030881690485057654,-0.02959985322516616,-0.03114669281223092,-0.02973498141193709,Bishop
10956.904032738586,10966.183614653326,10962.04965918161,10960.831290363993,85.80772724387285,85.80295465219598,85.80759112875378,85.77948610945687,0.009251228173849657,0.009171401747111951,0.009205126012348646,0.009176206788527756,1.611772455800907e-05,1.6012736646022222e-05,1.605009489312341e-05,1.600328260025625e-05,0.004014688600378498,0.0040015917640386835,0.00400625696793446,0.004000410303988361,-0.018586620107793692,-0.01743591130038364,-0.018136574785504428,-0.01683233442927811,Bishop
10943.468808089687,10942.428565463579,10925.476765521997,10942.6128147049,85.8885411120918,85.85949994531362,85.79559525317238,85.85401444532289,0.009373203530364381,0.00938184687267999,0.009419572393147436,0.009358793307312364,1.6220197536149622e-05,1.6155334284295066e-05,1.619021858398438e-05,1.613383781462749e-05,0.004027430637037666,0.00401936988647413,0.004023707069852921,0.004016694886922268,-0.02356544786358561,-0.022030009393263234,-0.020878352186827685,-0.021755092621210937,Bishop
11023.543449561234,11040.57360980076,11045.697282514097,11055.827020539953,86.41048545986578,86.43763206390517,86.52562718333486,86.50167529828285,0.007511372570140541,0.007385267402776405,0.00766674855914711,0.007469704687573096,1.667924861868527e-05,1.65705893402102e-05,1.668841347638931e-05,1.6546213113315552e-05,0.0040840235820432365,0.004070698876140337,0.004085145465756307,0.004067703665867949,-0.039262400086478876,-0.03825271353829841,-0.04261729951037307,-0.0399075306734658,Bishop
10890.394149130838,10900.94361451983,10894.728528275702,10902.870937942647,85.39216609845357,85.42915359797136,85.40733690190568,85.44147021110162,0.010742413801589655,0.010658363171118049,0.010735843370909846,0.01064873624526174,1.5696593810688514e-05,1.5671897051151998e-05,1.5683923384445544e-05,1.5675800100495553e-05,0.003961892705600256,0.003958774690627391,0.003960293345756794,0.003959267621732023,-0.005737435318751685,-0.006467748899204718,-0.006045591198162044,-0.006867918070302828,Bishop
10915.719269905578,10919.34168066071,10918.87991819424,10922.952165357174,85.55682364205487,85.5410167275063,85.55901630425022,85.55617922774726,0.009797842019197126,0.009825179695463112,0.009793105683488247,0.009830324270170328,1.589884255555045e-05,1.5816738970738854e-05,1.586353873939981e-05,1.582085890224698e-05,0.003987335270020625,0.003977026398044003,0.003982905816034294,0.0039775443306451,-0.010907314002272404,-0.00978113420814037,-0.01070195046412384,-0.010168239419608765,Bishop
10901.404808181653,10909.721978006408,10911.739486063823,10915.258483392457,85.47088224038073,85.50043435467441,85.52278995494805,85.51545037226718,0.01019722066786891,0.010156764651989237,0.010139035969297031,0.01014697786700164,1.582516569440974e-05,1.5805729657647432e-05,1.5847345347918125e-05,1.5791128471487536e-05,0.003978085682135283,0.003975642043450018,0.003980872435524419,0.003973805288572597,-0.008409258915303874,-0.00900823242795007,-0.009911697119331224,-0.00919250905215041,Bishop
11175.957419980348,11167.541584228095,11174.607630426559,11162.882018859227,87.04205025037739,87.02743101703226,87.05474218533892,87.00077853480832,0.008949128017295211,0.0091390976910079,0.009295155206877015,0.009052237368332489,1.664845354631108e-05,1.662515721845876e-05,1.6688795039206768e-05,1.6617155943017224e-05,0.004080251652326249,0.0040773958868938346,0.00408519216674158,0.0040764145941031595,-0.023216148126583055,-0.021999753542890927,-0.022911628035901327,-0.021564235102740484,Bishop
